Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
openSUSE,artwork,149.0,https://github.com/openSUSE/artwork,2011-11-04,6.0,63.0,"['HTML', 'Python']","{'HTML': 0.755131189166314, 'Python': 0.244868810833686}"
LeeHyeJin91,Neural_CF,22.0,https://github.com/LeeHyeJin91/Neural_CF,2020-08-12,1.0,8.0,"['Jupyter Notebook', 'Python']","{'Jupyter Notebook': 0.6524813113572908, 'Python': 0.3475186886427092}"
IFRA-Cranfield,ros2_RobotSimulation,85.0,https://github.com/IFRA-Cranfield/ros2_RobotSimulation,2022-07-22,2.0,29.0,"['Python', 'C++', 'CMake']","{'Python': 0.6452850431048084, 'C++': 0.30639704917651633, 'CMake': 0.04831790771867532}"
hotosm,osm-tasking-manager2,426.0,https://github.com/hotosm/osm-tasking-manager2,2013-02-02,20.0,156.0,"['JavaScript', 'Python', 'CSS', 'Mako', 'HTML', 'Shell']","{'JavaScript': 0.29379202440014657, 'Python': 0.2798478456769951, 'CSS': 0.2750933325411208, 'Mako': 0.14275422595882475, 'HTML': 0.006819217095946842, 'Shell': 0.001693354326965925}"
cisagov,tic3.0,11.0,https://github.com/cisagov/tic3.0,2019-04-24,2.0,7.0,[],{}
nfeiglin,collab-consumption,23.0,https://github.com/nfeiglin/collab-consumption,2014-03-01,1.0,10.0,"['PHP', 'JavaScript', 'CSS']","{'PHP': 0.8866928124878655, 'JavaScript': 0.08149952016685989, 'CSS': 0.03180766734527461}"
i40-Tools,I40KG,62.0,https://github.com/i40-Tools/I40KG,2017-03-24,5.0,24.0,"['HTML', 'JavaScript', 'CSS', 'Shell']","{'HTML': 0.8930083941772037, 'JavaScript': 0.048080571957679986, 'CSS': 0.041587607583600236, 'Shell': 0.017323426281516112}"
pauliceia,pauliceia,8.0,https://github.com/pauliceia/pauliceia,2017-08-21,14.0,14.0,"['Vue', 'JavaScript', 'CSS', 'HTML']","{'Vue': 0.7452650029092015, 'JavaScript': 0.20742003317214022, 'CSS': 0.04094610613636309, 'HTML': 0.006368857782295155}"
cseagle,collabREate,98.0,https://github.com/cseagle/collabREate,2014-05-27,3.0,21.0,"['C++', 'Java', 'C', 'Shell', 'Roff', 'PLpgSQL', 'Makefile']","{'C++': 0.5865565543370663, 'Java': 0.24910249000713647, 'C': 0.11978956525742755, 'Shell': 0.024811622860424626, 'Roff': 0.008417147378228825, 'PLpgSQL': 0.005682513488396889, 'Makefile': 0.0056401066713193}"
AlgorithmFan,PLSA,2.0,https://github.com/AlgorithmFan/PLSA,2014-10-20,1.0,4.0,['Python'],{'Python': 1.0}
GingerKiwi,alice-game,8.0,https://github.com/GingerKiwi/alice-game,2022-10-29,3.0,11.0,"['Python', 'HTML', 'CSS', 'JavaScript']","{'Python': 0.5352765412525154, 'HTML': 0.3133117873041039, 'CSS': 0.08616379047502896, 'JavaScript': 0.06524788096835173}"
Vanlightly,Rebalanser,17.0,https://github.com/Vanlightly/Rebalanser,2018-07-10,1.0,5.0,['C#'],{'C#': 1.0}
SeeSharpOpenSource,JLab,19.0,https://github.com/SeeSharpOpenSource/JLab,2018-07-27,2.0,12.0,['C#'],{'C#': 1.0}
bdamele,unix-privesc-check,83.0,https://github.com/bdamele/unix-privesc-check,2015-03-17,2.0,28.0,['Shell'],{'Shell': 1.0}
