Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
jtleek,datasharing,6396,https://github.com/jtleek/datasharing,2013-11-07,1,243433,[],{}
rdpeng,ProgrammingAssignment2,805,https://github.com/rdpeng/ProgrammingAssignment2,2014-01-14,1,142898,['R'],{'R': 1.0}
octocat,Spoon-Knife,11910,https://github.com/octocat/Spoon-Knife,2011-01-27,3,139676,"['HTML', 'CSS']","{'HTML': 0.5810147299509002, 'CSS': 0.41898527004909986}"
SmartThingsCommunity,SmartThingsPublic,2510,https://github.com/SmartThingsCommunity/SmartThingsPublic,2015-08-04,30,90864,"['Groovy', 'Shell']","{'Groovy': 0.9998780908392617, 'Shell': 0.0001219091607382521}"
tensorflow,tensorflow,178593,https://github.com/tensorflow/tensorflow,2015-11-07,30,89100,"['C++', 'Python', 'MLIR', 'Starlark', 'HTML', 'Go', 'C', 'Java', 'Jupyter Notebook', 'Shell', 'Objective-C++', 'Objective-C', 'CMake', 'Smarty', 'Swift', 'Dockerfile', 'C#', 'Batchfile', 'Ruby', 'Perl', 'Pawn', 'Roff', 'Cython', 'Makefile', 'Vim Snippet']","{'C++': 0.5642925089823755, 'Python': 0.26969700984669526, 'MLIR': 0.05700542617255917, 'Starlark': 0.03970698409510017, 'HTML': 0.02793213319908457, 'Go': 0.012993593919475882, 'C': 0.007457426825338447, 'Java': 0.006933494038001178, 'Jupyter Notebook': 0.004614561298851707, 'Shell': 0.004017956424557877, 'Objective-C++': 0.0018010197014903882, 'Objective-C': 0.001029752684306214, 'CMake': 0.0008003346599371587, 'Smarty': 0.0007224057222715296, 'Swift': 0.00048587128095618277, 'Dockerfile': 0.0001444918727210591, 'C#': 8.09626530975072e-05, 'Batchfile': 6.948936781977594e-05, 'Ruby': 5.54889797068457e-05, 'Perl': 4.4915676806744274e-05, 'Pawn': 4.3628284796359886e-05, 'Roff': 3.0003386019791758e-05, 'Cython': 2.3238617817077486e-05, 'Makefile': 1.6956621618257358e-05, 'Vim Snippet': 3.456885953809936e-07}"
github,gitignore,152754,https://github.com/github/gitignore,2010-11-08,8,83972,[],{}
Pierian-Data,Complete-Python-3-Bootcamp,25137,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,2018-02-12,1,81517,"['Jupyter Notebook', 'Python']","{'Jupyter Notebook': 0.9999496566609921, 'Python': 5.034333900785672e-05}"
twbs,bootstrap,165765,https://github.com/twbs/bootstrap,2011-07-29,30,79007,"['JavaScript', 'HTML', 'SCSS', 'CSS', 'PowerShell']","{'JavaScript': 0.3809919037034884, 'HTML': 0.32497295955843275, 'SCSS': 0.16115278836521277, 'CSS': 0.13247798910225733, 'PowerShell': 0.00040435927060876464}"
nightscout,cgm-remote-monitor,2209,https://github.com/nightscout/cgm-remote-monitor,2014-05-22,30,70536,"['JavaScript', 'CSS', 'HTML', 'EJS', 'Shell', 'Makefile', 'Dockerfile', 'Procfile']","{'JavaScript': 0.8546812195932407, 'CSS': 0.08477738416038982, 'HTML': 0.05111040213370308, 'EJS': 0.003644119345184541, 'Shell': 0.003445409414214163, 'Makefile': 0.0019131350576203604, 'Dockerfile': 0.0004112191627025875, 'Procfile': 1.7111132944671428e-05}"
jwasham,coding-interview-university,270465,https://github.com/jwasham/coding-interview-university,2016-06-06,1,70358,[],{}
