Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
freeCodeCamp,freeCodeCamp,377454,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24,6,34692,"['TypeScript', 'JavaScript', 'CSS', 'Dockerfile', 'MDX', 'EJS', 'Shell', 'HTML', 'Less']","{'TypeScript': 0.6288988578656082, 'JavaScript': 0.3064418833963184, 'CSS': 0.058393208883778795, 'Dockerfile': 0.002818738726962488, 'MDX': 0.0017640042429470676, 'EJS': 0.0007179397230746761, 'Shell': 0.0005292012728841202, 'HTML': 0.00042416132268972964, 'Less': 1.2004565736501783e-05}"
EbookFoundation,free-programming-books,302513,https://github.com/EbookFoundation/free-programming-books,2013-10-11,29,58448,[],{}
sindresorhus,awesome,275927,https://github.com/sindresorhus/awesome,2014-07-11,2,26673,[],{}
jwasham,coding-interview-university,270428,https://github.com/jwasham/coding-interview-university,2016-06-06,1,70350,[],{}
996icu,996.ICU,268108,https://github.com/996icu/996.ICU,2019-03-26,1,21479,[],{}
kamranahmedse,developer-roadmap,256512,https://github.com/kamranahmedse/developer-roadmap,2017-03-15,30,35369,"['TypeScript', 'Astro', 'JavaScript', 'CSS', 'Shell']","{'TypeScript': 0.7866722394538669, 'Astro': 0.15906396728676145, 'JavaScript': 0.04543043670609169, 'CSS': 0.007789681055700986, 'Shell': 0.001043675497579015}"
codecrafters-io,build-your-own-x,223961,https://github.com/codecrafters-io/build-your-own-x,2018-05-09,1,21653,[],{}
facebook,react,214881,https://github.com/facebook/react,2013-05-24,30,45294,"['JavaScript', 'HTML', 'CSS', 'C++', 'TypeScript', 'CoffeeScript', 'C', 'Shell', 'Python', 'Makefile']","{'JavaScript': 0.9372443691560142, 'HTML': 0.02747183639807939, 'CSS': 0.014559031605598809, 'C++': 0.010073416075297933, 'TypeScript': 0.004883411979063488, 'CoffeeScript': 0.003975690065391914, 'C': 0.0011888405018194242, 'Shell': 0.000501510102642401, 'Python': 5.8907535865932814e-05, 'Makefile': 4.298658022649151e-05}"
vinta,awesome-python,185508,https://github.com/vinta/awesome-python,2014-06-27,2,24037,"['Python', 'Makefile']","{'Python': 0.9258448060075094, 'Makefile': 0.07415519399249061}"
getify,You-Dont-Know-JS,172656,https://github.com/getify/You-Dont-Know-JS,2013-11-16,6,33205,[],{}
CyC2018,CS-Notes,168006,https://github.com/CyC2018/CS-Notes,2018-02-13,1,50621,[],{}
twbs,bootstrap,165757,https://github.com/twbs/bootstrap,2011-07-29,30,79007,"['JavaScript', 'HTML', 'SCSS', 'CSS', 'PowerShell']","{'JavaScript': 0.3809919037034884, 'HTML': 0.32497295955843275, 'SCSS': 0.16115278836521277, 'CSS': 0.13247798910225733, 'PowerShell': 0.00040435927060876464}"
